algorithm,column,f_total,f_ref,gap,sparsity,time
A1-Prox-2Phase,10,19.092099135608063,19.09209825158047,8.84027592462644e-07,0.0,0.04445219039916992
A1-Prox-2Phase,11,18.369699263331253,18.369698746959155,5.163720970813301e-07,0.0,0.04917597770690918
A1-Prox-2Phase,12,18.59893661313147,18.598935960174245,6.529572260660643e-07,0.005,0.04715585708618164
A1-Prox-2Phase,13,18.208461727757754,18.2084610431451,6.84612654566763e-07,0.0,0.04680490493774414
A1-Prox-2Phase,14,18.952377618702005,18.952376995066675,6.236353300437258e-07,0.0,0.04532504081726074
A1-Prox-2Phase,15,17.219139142865014,17.21913866596245,4.769025636619517e-07,0.0,0.04912114143371582
A1-Prox-2Phase,16,18.218083726238174,18.218083346149037,3.80089137053119e-07,0.0,0.048844099044799805
A1-Prox-2Phase,17,19.222064848336736,19.22206433723902,5.110977170375008e-07,0.0,0.051573991775512695
A1-Prox-2Phase,18,17.287174192982942,17.287173672727203,5.202557389338835e-07,0.0,0.04777073860168457
A1-Prox-2Phase,19,17.828630412734906,17.828629786478647,6.262562592951326e-07,0.0,0.045237064361572266
A1-Prox-2Phase,20,18.30025157619596,18.300250999418036,5.767779249765681e-07,0.005,0.047025203704833984
A1-Prox-2Phase,21,17.789326493157414,17.789326167675526,3.2548188855230364e-07,0.0,0.054260969161987305
A1-Prox-2Phase,22,19.43152773056057,19.431526897523515,8.33037056224839e-07,0.005,0.04613208770751953
A1-Prox-2Phase,23,18.659646683382306,18.659646185434703,4.979476031508057e-07,0.0,0.048233985900878906
A1-Prox-2Phase,24,19.09672267923544,19.096721708413234,9.708222066251437e-07,0.0,0.042897939682006836
A1-Prox-2Phase,25,18.490035100842583,18.49003462060811,4.802344726329011e-07,0.005,0.05147385597229004
A1-Prox-2Phase,26,18.604307690586236,18.604306960917885,7.296683506297086e-07,0.0,0.041342973709106445
A1-Prox-2Phase,27,19.901711521815507,19.901710917036024,6.047794833818898e-07,0.0,0.04686379432678223
A1-Prox-2Phase,28,18.21028508102956,18.2102843249388,7.560907597792266e-07,0.0,0.04698681831359863
A1-Prox-2Phase,29,17.55953055000315,17.5595299475718,6.024313492503097e-07,0.005,0.047020912170410156
A1-Prox-2Phase,30,18.71881508683235,18.71881434269165,7.44140699282525e-07,0.0,0.04676103591918945
A1-Prox-2Phase,31,17.52320773521032,17.5232073245982,4.106121203051316e-07,0.0,0.048029184341430664
A1-Prox-2Phase,32,19.127431475156264,19.12743089883932,5.763169426131753e-07,0.0,0.0483248233795166
A1-Prox-2Phase,33,17.090406343934962,17.09040579622989,5.477050706303999e-07,0.0,0.04809212684631348
A1-Prox-2Phase,34,17.68360141224978,17.683600982576355,4.2967342395172636e-07,0.0,0.04996085166931152
A1-Prox-2Phase,35,18.072556562308996,18.072555997113856,5.651951404672673e-07,0.0,0.04719901084899902
A1-Prox-2Phase,36,17.819536760346292,17.819535929196753,8.311495385271428e-07,0.0,0.04491782188415527
A1-Prox-2Phase,37,18.019927360476988,18.019926814918215,5.455587732683398e-07,0.0,0.049797773361206055
A1-Prox-2Phase,38,18.45485150196899,18.4548507315106,7.704583886436467e-07,0.0,0.0424189567565918
A1-Prox-2Phase,39,18.909117941493697,18.909117352733706,5.88759991870802e-07,0.005,0.04851484298706055
A1-Prox-2Phase,40,19.37745329453014,19.37745274315677,5.513733718487401e-07,0.0,0.04842495918273926
A1-Prox-2Phase,41,18.691476811647178,18.691476138350758,6.732964195066415e-07,0.005,0.048589229583740234
A1-Prox-2Phase,42,18.533723663302037,18.53372307969972,5.836023184713213e-07,0.005,0.05083799362182617
A1-Prox-2Phase,43,17.919480605237943,17.9194797345055,8.707324425927254e-07,0.0,0.04727602005004883
A1-Prox-2Phase,44,19.47866095317534,19.47866019558779,7.575875500265283e-07,0.0,0.04505801200866699
